"Canton","Nationalité","Classes d'âge 15-24, 25-49, 50 ans et plus",,"Mois","Janvier 2016","Février 2016","Mars 2016","Avril 2016","Mai 2016","Juin 2016","Juillet 2016","Août 2016","Septembre 2016","Octobre 2016","Novembre 2016","Décembre 2016"
"Schaffhouse","Etrangers","3","50 ans et plus",,"173","169","179","174","171","158","147","150","141","144","157","175"
"Schaffhouse","Etrangers","Total",,,"796","799","786","780","758","737","708","698","715","699","719","775"
"Schaffhouse","Suisses","1","15-24 ans",,"145","124","128","115","113","118","129","141","143","132","134","140"
"Schaffhouse","Suisses","2","25-49 ans",,"378","347","343","312","345","342","340","336","343","334","348","364"
"Schaffhouse","Suisses","3","50 ans et plus",,"221","217","216","205","215","215","208","212","222","212","213","234"
"Schaffhouse","Suisses","Total",,,"744","688","687","632","673","675","677","689","708","678","695","738"
"Schaffhouse","Total","",,,"1'540","1'487","1'473","1'412","1'431","1'412","1'385","1'387","1'423","1'377","1'414","1'513"
"Appenzell Rhodes-Extérieures","Etrangers","1","15-24 ans",,"22","25","22","13","18","25","26","22","19","14","13","14"
"Appenzell Rhodes-Extérieures","Etrangers","2","25-49 ans",,"173","155","142","140","119","121","122","122","105","106","111","126"
"Appenzell Rhodes-Extérieures","Etrangers","3","50 ans et plus",,"71","65","63","52","48","42","51","58","64","54","56","63"
"Appenzell Rhodes-Extérieures","Etrangers","Total",,,"266","245","227","205","185","188","199","202","188","174","180","203"
"Appenzell Rhodes-Extérieures","Suisses","1","15-24 ans",,"58","67","65","68","50","45","37","61","61","54","49","55"
"Appenzell Rhodes-Extérieures","Suisses","2","25-49 ans",,"170","163","167","163","143","141","143","152","155","149","159","158"
"Appenzell Rhodes-Extérieures","Suisses","3","50 ans et plus",,"135","142","145","135","141","144","146","147","135","140","142","147"
"Appenzell Rhodes-Extérieures","Suisses","Total",,,"363","372","377","366","334","330","326","360","351","343","350","360"
"Appenzell Rhodes-Extérieures","Total","",,,"629","617","604","571","519","518","525","562","539","517","530","563"
"Appenzell Rhodes-Intérieures","Etrangers","1","15-24 ans",,"10","8","6","5","5","3","3","6","5","4","6","8"
"Appenzell Rhodes-Intérieures","Etrangers","2","25-49 ans",,"36","35","24","23","21","17","18","19","19","18","25","44"
"Appenzell Rhodes-Intérieures","Etrangers","3","50 ans et plus",,"15","16","14","15","13","13","13","13","12","13","16","19"
"Appenzell Rhodes-Intérieures","Etrangers","Total",,,"61","59","44","43","39","33","34","38","36","35","47","71"
"Appenzell Rhodes-Intérieures","Suisses","1","15-24 ans",,"12","13","13","10","8","10","9","11","12","12","11","9"
"Appenzell Rhodes-Intérieures","Suisses","2","25-49 ans",,"27","25","26","25","28","26","24","25","19","22","26","26"
"Appenzell Rhodes-Intérieures","Suisses","3","50 ans et plus",,"16","14","15","19","17","18","17","17","19","18","23","20"
"Appenzell Rhodes-Intérieures","Suisses","Total",,,"55","52","54","54","53","54","50","53","50","52","60","55"
